,Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
91808,2022-2023,EPL,Newcastle Utd,Emil Krafth,se SWE,DF,28.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91815,2022-2023,EPL,Liverpool,Alisson,br BRA,GK,30.0,26.0,2340.0,26.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.04,0.04,0.0,0.04,0.0,0.0,0.3,0.3,0.0,0.01,0.01,0.0,0.01
91816,2022-2023,EPL,Liverpool,Mohamed Salah,eg EGY,FW,30.0,26.0,2315.0,25.7,11.0,7.0,18.0,11.0,0.0,1.0,1.0,0.0,72.0,87.0,262.0,0.43,0.27,0.7,0.43,0.7,11.8,11.8,5.5,17.3,0.48,0.22,0.7,0.48,0.7
91817,2022-2023,EPL,Liverpool,Trent Alexander-Arnold,eng ENG,DF,24.0,23.0,1933.0,21.5,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,30.0,152.0,109.0,0.05,0.09,0.14,0.05,0.14,1.6,1.6,6.2,7.8,0.08,0.3,0.37,0.08,0.37
91818,2022-2023,EPL,Liverpool,Virgil van Dijk,nl NED,DF,31.0,22.0,1935.0,21.5,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,10.0,84.0,4.0,0.14,0.0,0.14,0.14,0.14,1.7,1.7,0.2,1.9,0.08,0.01,0.09,0.08,0.09
91819,2022-2023,EPL,Liverpool,Andrew Robertson,sct SCO,DF,29.0,20.0,1772.0,19.7,0.0,6.0,6.0,0.0,0.0,0.0,2.0,0.0,49.0,100.0,147.0,0.0,0.3,0.3,0.0,0.3,1.1,1.1,4.1,5.2,0.06,0.22,0.28,0.06,0.28
91820,2022-2023,EPL,Liverpool,Fabinho,br BRA,MF,29.0,19.0,1685.0,18.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,9.0,96.0,20.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.8,1.1,0.02,0.04,0.06,0.02,0.06
91821,2022-2023,EPL,Liverpool,Harvey Elliott,eng ENG,"MF,FW",19.0,16.0,1428.0,15.9,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,45.0,109.0,112.0,0.06,0.13,0.19,0.06,0.19,1.7,1.7,3.2,4.9,0.11,0.21,0.32,0.11,0.32
91822,2022-2023,EPL,Liverpool,Darwin Núñez,uy URU,FW,23.0,16.0,1347.0,15.0,8.0,3.0,11.0,8.0,0.0,0.0,1.0,1.0,48.0,22.0,134.0,0.53,0.2,0.73,0.53,0.73,10.3,10.3,4.4,14.7,0.72,0.31,1.03,0.72,1.03
91823,2022-2023,EPL,Liverpool,Jordan Henderson,eng ENG,MF,32.0,14.0,1261.0,14.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,22.0,105.0,31.0,0.0,0.07,0.07,0.0,0.07,0.7,0.7,1.3,1.9,0.05,0.09,0.14,0.05,0.14
91824,2022-2023,EPL,Liverpool,Thiago Alcántara,es ESP,MF,31.0,14.0,1154.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,107.0,22.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.1,1.5,0.03,0.08,0.12,0.03,0.12
91825,2022-2023,EPL,Liverpool,Joe Gomez,eng ENG,DF,25.0,13.0,1286.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,13.0,95.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.01,0.01,0.02,0.01,0.02
91826,2022-2023,EPL,Liverpool,Roberto Firmino,br BRA,"FW,MF",31.0,11.0,1031.0,11.5,8.0,4.0,12.0,8.0,0.0,0.0,0.0,0.0,12.0,66.0,77.0,0.7,0.35,1.05,0.7,1.05,4.5,4.5,2.3,6.8,0.4,0.21,0.61,0.4,0.61
91827,2022-2023,EPL,Liverpool,Joël Matip,cm CMR,DF,31.0,9.0,822.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,24.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.01,0.02,0.03,0.01,0.03
91828,2022-2023,EPL,Liverpool,Cody Gakpo,nl NED,FW,23.0,8.0,658.0,7.3,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,9.0,16.0,44.0,0.55,0.0,0.55,0.55,0.55,3.2,3.2,0.4,3.6,0.51,0.06,0.57,0.51,0.57
91829,2022-2023,EPL,Liverpool,Ibrahima Konaté,fr FRA,DF,23.0,7.0,652.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.07,0.0,0.07,0.07,0.07
91830,2022-2023,EPL,Liverpool,Luis Díaz,co COL,FW,26.0,7.0,613.0,6.8,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,21.0,25.0,72.0,0.44,0.29,0.73,0.44,0.73,1.7,1.7,1.0,2.7,0.26,0.15,0.4,0.26,0.4
91831,2022-2023,EPL,Liverpool,James Milner,eng ENG,"MF,DF",37.0,6.0,719.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,16.0,51.0,57.0,0.0,0.13,0.13,0.0,0.13,0.4,0.4,0.8,1.2,0.05,0.1,0.15,0.05,0.15
